43	136.8	77	1
18	33.1	74	1
33	91.4	64	0
24	141.0	96	1
34	94.5	63	0
32	123.5	94	1
22	100.4	64	0
26	146.5	67	0
24	105.6	72	1
30	85.4	100	1
19	65.6	67	0
41	65.4	81	0
24	124.5	83	1
22	122.7	52	0
24	103.9	70	0
41	143.1	62	0
37	78.3	51	0
18	43.1	63	0
44	70.2	76	0
26	23.3	88	1
34	27.5	95	0
39	137.7	71	1
36	62.3	82	0
21	116.3	52	0
37	42.7	60	1
45	45.5	99	0
18	27.3	83	1
27	134.1	87	1
19	64.1	59	0
31	145.3	76	1
45	85.3	51	0
21	103.5	60	0
29	114.4	65	0
39	98.8	85	1
38	23.2	82	0
19	75.1	94	0
42	126.9	83	1
33	21.5	96	0
44	52.2	91	0
36	111.1	77	1
37	43.0	67	0
39	74.5	79	0
20	146.9	64	0
20	131.2	66	0
39	137.1	60	0
23	136.6	57	0
45	24.7	81	0
42	33.2	57	0
28	84.0	85	1
36	131.3	96	1
38	103.5	73	1
41	87.9	61	0
27	68.7	97	1
34	31.9	96	1
32	66.7	86	0
24	54.5	84	1
21	94.1	55	0
33	111.3	86	1
27	33.1	68	0
35	70.1	82	0
42	138.7	70	0
31	125.2	59	0
28	26.7	79	1
29	22.0	70	0
18	30.9	77	1
24	68.1	60	0
35	84.0	79	1
23	68.9	53	0
36	145.0	78	1
20	93.9	78	0
19	107.4	63	0
44	148.2	69	0
45	109.9	90	1
25	102.9	96	1
24	42.5	83	0
25	75.8	92	1
40	68.2	74	0
33	49.2	76	0
20	66.3	100	1
21	68.7	93	1
34	130.9	98	1
37	143.5	77	1
26	120.9	96	1
35	111.3	100	1
22	81.6	66	0
45	142.3	81	1
21	102.0	96	1
30	68.4	75	0
45	61.5	91	0
34	122.9	56	0
39	34.5	96	0
41	31.9	63	1
32	102.6	92	1
18	137.3	85	1
30	90.5	77	1
27	55.2	51	0
45	129.8	71	1
44	62.0	70	0
40	101.8	61	0
36	67.8	95	0
44	20.7	77	1
19	29.5	59	0
36	89.1	66	0
45	132.7	66	0
36	140.2	96	0
41	56.4	83	0
35	100.0	66	0
29	58.1	94	1
25	101.0	54	0
44	104.4	89	1
25	141.8	84	1
38	37.9	68	0
37	68.7	91	0
44	132.9	86	1
32	112.6	66	0
19	87.4	54	0
39	38.6	84	0
19	29.0	100	1
38	135.7	62	0
20	145.7	71	1
42	32.2	98	0
29	61.6	98	1
20	64.3	71	1
33	80.9	71	1
24	71.1	100	1
43	30.2	100	1
24	142.2	53	0
38	102.3	61	0
42	115.6	95	1
26	61.5	75	1
30	94.8	89	1
38	51.7	55	0
21	58.3	62	0
21	49.1	55	0
43	21.6	83	0
29	42.5	83	1
43	32.7	69	0
43	56.5	54	1
28	35.4	54	1
29	48.1	93	1
28	125.7	66	0
26	35.4	96	1
45	145.1	87	1
43	148.7	54	0
31	25.3	59	0
22	32.2	62	0
44	21.4	96	0
41	30.9	59	0
39	137.7	81	1
37	56.6	50	0
32	144.0	96	1
29	125.9	55	0
26	110.5	87	0
32	109.8	86	1
19	103.9	50	0
18	87.1	86	1
27	110.5	97	1
29	23.0	70	0
40	96.2	57	0
43	25.9	92	1
23	137.8	67	0
26	36.5	99	1
37	29.2	80	0
44	91.4	92	1
37	135.8	86	1
37	130.4	77	0
21	79.6	52	0
18	120.1	50	0
25	58.2	59	0
22	35.1	78	1
20	136.6	72	0
24	142.4	52	0
41	126.2	64	0
18	118.5	66	0
34	106.3	99	1
34	41.2	65	0
45	35.2	87	0
41	31.1	79	0
30	90.9	81	1
44	76.4	55	0
26	118.1	66	0
32	26.0	53	0
24	128.7	83	1
29	92.1	73	1
31	110.6	72	1
28	70.3	85	1
24	66.8	52	0
21	88.9	50	0
20	146.1	94	1
44	117.6	97	1
22	23.4	65	0
31	81.6	54	0
26	71.8	51	0
27	91.3	86	1
43	30.6	88	0
33	95.8	93	1
40	104.5	62	0
28	103.6	74	1
38	126.8	88	1
45	35.3	57	0
20	21.9	54	0
37	73.6	58	0
40	119.0	100	1
33	123.8	95	1
45	57.1	90	0
18	52.5	79	1
40	83.9	73	1
32	96.8	57	0
23	92.4	50	0
32	70.6	64	0
25	140.7	75	1
45	101.4	60	0
26	57.3	80	1
24	77.1	60	0
24	64.3	69	1
30	24.0	88	1
25	130.6	83	1
38	92.2	80	1
22	123.4	63	0
39	32.6	77	1
18	56.7	98	1
27	127.4	57	0
22	144.1	87	1
19	40.3	67	0
42	32.3	54	0
25	51.4	52	0
40	134.1	90	1
29	21.2	75	1
19	135.4	94	1
45	121.4	61	0
43	68.8	50	0
22	121.0	52	0
31	95.0	59	0
25	73.2	99	0
34	77.4	96	0
29	38.2	80	1
45	134.1	75	1
40	148.3	75	1
38	108.8	67	0
30	22.4	70	0
43	110.6	90	1
18	24.9	75	1
29	111.8	66	0
42	117.6	75	1
19	42.0	84	1
36	25.6	55	1
23	131.6	79	1
43	34.8	67	0
39	141.7	70	0
44	124.9	94	1
21	61.2	90	1
26	113.9	94	1
18	30.9	86	1
42	105.5	97	1
43	102.1	73	1
23	117.0	98	1
42	123.3	74	1
34	117.9	74	1
29	117.0	69	0
25	86.5	63	0
28	105.8	63	1
38	85.2	58	0
32	100.1	62	0
41	63.9	53	0
36	85.7	50	0
20	114.4	72	1
45	104.8	85	1
19	135.3	87	1
32	50.8	58	0
30	104.5	50	0
43	45.4	99	0
42	148.8	76	1
34	90.3	97	1
41	32.1	65	0
37	92.6	90	1
32	75.7	74	0
25	99.5	64	0
23	29.3	77	1
24	62.7	75	1
20	145.1	68	0
40	112.9	76	1
34	143.6	72	1
44	40.9	77	0
41	84.3	72	1
45	138.9	98	1
20	117.8	100	1
20	115.9	82	1
45	95.2	89	1
35	136.0	54	0
40	125.3	68	0
22	33.4	75	1
41	136.4	84	1
32	70.5	53	0
45	80.5	83	1
18	111.5	59	0
28	53.5	98	0
36	145.2	75	1
23	31.0	71	1
40	105.8	100	1
29	41.0	57	0
